Load,Vehicle,Carrier,Net Revenue,Gross revenue,Actual Delivery Date,Carrier Assigned By
267300,406845,J MACK'S TRUCKING LLC,20,80,4/27/2026 16:28,Liza Kolodii
267300,407091,J MACK'S TRUCKING LLC,20,80,4/27/2026 16:28,Liza Kolodii
267300,407118,J MACK'S TRUCKING LLC,20,80,4/27/2026 16:28,Liza Kolodii
265760,404238,DOUBLE J&K TRANSPORT LLC,35,285,4/27/2026 16:32,Ryan Glover
263974,399485,GREEN TOW TRANSPORTATION,40,115,4/27/2026 16:36,Tyson Artis
266976,406578,TAY EXPRESS LLC,195,995,4/27/2026 16:39,Illia Kovanko
265461,401345,GREEN TOW TRANSPORTATION,40,115,4/27/2026 16:40,Tyson Artis
267260,401349,GREEN TOW TRANSPORTATION,40,115,4/27/2026 16:42,Tyson Artis
267260,401350,GREEN TOW TRANSPORTATION,40,115,4/27/2026 16:42,Tyson Artis
265600,403756,LG EXPRESS INC,65,145,4/27/2026 16:43,Liza Kolodii
265600,403762,LG EXPRESS INC,65,145,4/27/2026 16:43,Liza Kolodii
265600,406877,LG EXPRESS INC,65,145,4/27/2026 16:43,Liza Kolodii
266824,406225,PERFORMANCE TRANSPORT LLC,20,170,4/27/2026 16:44,Rodrigo Herrera
266824,406248,PERFORMANCE TRANSPORT LLC,20,170,4/27/2026 16:44,Rodrigo Herrera
266824,406256,PERFORMANCE TRANSPORT LLC,20,170,4/27/2026 16:44,Rodrigo Herrera
265996,399488,GREEN TOW TRANSPORTATION,40,115,4/27/2026 16:46,Tyson Artis
265996,401348,GREEN TOW TRANSPORTATION,40,115,4/27/2026 16:46,Tyson Artis
265996,403323,GREEN TOW TRANSPORTATION,40,115,4/27/2026 16:46,Tyson Artis
267303,407088,GUERRERO 1 LOGISTICS INC,20,80,4/27/2026 16:46,Liza Kolodii
267303,407089,GUERRERO 1 LOGISTICS INC,20,80,4/27/2026 16:46,Liza Kolodii
267303,407163,GUERRERO 1 LOGISTICS INC,20,80,4/27/2026 16:46,Liza Kolodii
265364,399421,LYNX AUTO TRANSPORT LLC,50,400,4/27/2026 16:47,Illia Kovanko
265960,399417,LYNX AUTO TRANSPORT LLC,50,400,4/27/2026 16:48,Illia Kovanko
266033,401268,LYNX AUTO TRANSPORT LLC,-100,400,4/27/2026 16:50,Illia Kovanko
267394,353086,MAV TRANSPORTATION LLC,20,85,4/27/2026 16:54,Liza Kolodii
267394,406846,MAV TRANSPORTATION LLC,20,85,4/27/2026 16:54,Liza Kolodii
267394,406849,MAV TRANSPORTATION LLC,20,85,4/27/2026 16:54,Liza Kolodii
267394,407105,MAV TRANSPORTATION LLC,20,85,4/27/2026 16:54,Liza Kolodii
267394,407126,MAV TRANSPORTATION LLC,20,85,4/27/2026 16:54,Liza Kolodii
267394,407127,MAV TRANSPORTATION LLC,20,85,4/27/2026 16:54,Liza Kolodii
267394,407128,MAV TRANSPORTATION LLC,20,85,4/27/2026 16:54,Liza Kolodii
265367,401636,EBASH TOWING LLC,55,270,4/27/2026 16:57,Tyson Artis
265369,401639,EBASH TOWING LLC,55,270,4/27/2026 16:58,Tyson Artis
262367,397981,STH EXPRESS LLC,45,970,4/27/2026 17:01,Illia Kovanko
262367,397993,STH EXPRESS LLC,45,970,4/27/2026 17:01,Illia Kovanko
266582,405595,SG3 SERVICE INC,15,75,4/27/2026 17:05,Rodrigo Herrera
266582,405597,SG3 SERVICE INC,15,75,4/27/2026 17:05,Rodrigo Herrera
266582,405601,SG3 SERVICE INC,15,75,4/27/2026 17:05,Rodrigo Herrera
264742,396492,GREEN TOW TRANSPORTATION,40,115,4/27/2026 17:06,Tyson Artis
264742,396494,GREEN TOW TRANSPORTATION,40,115,4/27/2026 17:06,Tyson Artis
264742,396495,GREEN TOW TRANSPORTATION,40,115,4/27/2026 17:06,Tyson Artis
264742,396496,GREEN TOW TRANSPORTATION,40,115,4/27/2026 17:06,Tyson Artis
264742,399484,GREEN TOW TRANSPORTATION,40,115,4/27/2026 17:06,Tyson Artis
264742,399486,GREEN TOW TRANSPORTATION,40,115,4/27/2026 17:06,Tyson Artis
264742,399487,GREEN TOW TRANSPORTATION,40,115,4/27/2026 17:06,Tyson Artis
265472,403567,ROYAL CARRIERS USA INC,0,200,4/27/2026 17:08,Rodrigo Herrera
265898,405284,DBN AUTO TRANSPORT,115,515,4/27/2026 17:10,Liza Kolodii
265023,402421,BRUKSTORE USA,-250,300,4/27/2026 17:17,Liza Kolodii
266597,405875,SDM TRANSPORT INC,120,520,4/27/2026 17:18,Liza Kolodii
265927,404540,ELEMENT TRANSPORTATION INC,95,495,4/27/2026 17:26,Illia Kovanko
267068,406348,ALIEN CORPORATION,30,190,4/27/2026 17:27,Illia Kovanko
267068,406676,ALIEN CORPORATION,30,190,4/27/2026 17:27,Illia Kovanko
265608,403781,LG EXPRESS INC,30,100,4/27/2026 17:35,Liza Kolodii
265608,403793,LG EXPRESS INC,30,100,4/27/2026 17:35,Liza Kolodii
265608,403804,LG EXPRESS INC,30,100,4/27/2026 17:35,Liza Kolodii
266257,405288,LNI ENTERPRISE LLC,30,125,4/27/2026 17:56,Rodrigo Herrera
266257,405290,LNI ENTERPRISE LLC,30,125,4/27/2026 17:56,Rodrigo Herrera
266257,405291,LNI ENTERPRISE LLC,30,125,4/27/2026 17:56,Rodrigo Herrera
266257,405292,LNI ENTERPRISE LLC,30,125,4/27/2026 17:56,Rodrigo Herrera
266257,405293,LNI ENTERPRISE LLC,30,125,4/27/2026 17:56,Rodrigo Herrera
266257,405294,LNI ENTERPRISE LLC,30,125,4/27/2026 17:56,Rodrigo Herrera
265857,404379,XPEL ONE INC,80,730,4/27/2026 18:00,Illia Kovanko
266996,403852,IBF TRANSPORTATION SPECIALISTS INC,-5,295,4/27/2026 18:02,Rodrigo Herrera
264844,402518,LG EXPRESS INC,30,100,4/27/2026 18:04,Liza Kolodii
264844,402520,LG EXPRESS INC,30,100,4/27/2026 18:04,Liza Kolodii
264844,402521,LG EXPRESS INC,30,100,4/27/2026 18:04,Liza Kolodii
264844,402526,LG EXPRESS INC,30,100,4/27/2026 18:04,Liza Kolodii
264844,402528,LG EXPRESS INC,30,100,4/27/2026 18:04,Liza Kolodii
264844,402564,LG EXPRESS INC,30,100,4/27/2026 18:04,Liza Kolodii
266587,405560,UCT LOGISTICS LLC,12,112,4/27/2026 18:09,Rodrigo Herrera
266587,405562,UCT LOGISTICS LLC,12,112,4/27/2026 18:09,Rodrigo Herrera
266587,405576,UCT LOGISTICS LLC,200,300,4/27/2026 18:09,Rodrigo Herrera
265351,403485,DTM AUTO GROUP LLC,-100,300,4/27/2026 18:11,Illia Kovanko
266930,406458,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:14,Liza Kolodii
266930,406480,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:14,Liza Kolodii
266065,405378,DAJANI AUTO HAULERS INC,15,85,4/27/2026 18:15,Liza Kolodii
266795,406022,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:16,Liza Kolodii
266795,406026,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:16,Liza Kolodii
266795,406028,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:16,Liza Kolodii
266795,407283,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:16,Liza Kolodii
266796,406046,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:17,Liza Kolodii
266796,406050,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:17,Liza Kolodii
266796,406054,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:17,Liza Kolodii
266796,407295,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:17,Liza Kolodii
267242,406847,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:18,Liza Kolodii
267242,406874,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:18,Liza Kolodii
267242,407159,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:18,Liza Kolodii
267242,407167,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:18,Liza Kolodii
267240,406858,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:19,Liza Kolodii
267240,406859,DAJANI AUTO HAULERS INC,130,250,4/27/2026 18:19,Liza Kolodii
267240,406873,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:19,Liza Kolodii
267243,407086,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:20,Liza Kolodii
267243,407092,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:20,Liza Kolodii
267243,407097,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:20,Liza Kolodii
267243,407098,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:20,Liza Kolodii
267245,407099,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:21,Liza Kolodii
267245,407100,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:21,Liza Kolodii
267245,407103,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:21,Liza Kolodii
267245,407120,DAJANI AUTO HAULERS INC,25,95,4/27/2026 18:21,Liza Kolodii
267400,407090,LG EXPRESS INC,20,85,4/27/2026 18:35,Liza Kolodii
267400,407108,LG EXPRESS INC,20,85,4/27/2026 18:35,Liza Kolodii
267400,407117,LG EXPRESS INC,20,85,4/27/2026 18:35,Liza Kolodii
267400,407139,LG EXPRESS INC,20,85,4/27/2026 18:35,Liza Kolodii
267400,407145,LG EXPRESS INC,20,85,4/27/2026 18:35,Liza Kolodii
267400,407147,LG EXPRESS INC,20,85,4/27/2026 18:35,Liza Kolodii
267400,407152,LG EXPRESS INC,20,85,4/27/2026 18:35,Liza Kolodii
267400,407153,LG EXPRESS INC,20,85,4/27/2026 18:35,Liza Kolodii
266571,405592,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:36,Rodrigo Herrera
266571,405609,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:36,Rodrigo Herrera
266571,405613,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:36,Rodrigo Herrera
267302,407150,J MACK'S TRUCKING LLC,20,80,4/27/2026 18:37,Liza Kolodii
267302,407156,J MACK'S TRUCKING LLC,20,80,4/27/2026 18:37,Liza Kolodii
267302,407160,J MACK'S TRUCKING LLC,20,80,4/27/2026 18:37,Liza Kolodii
267302,407169,J MACK'S TRUCKING LLC,20,80,4/27/2026 18:37,Liza Kolodii
266570,405575,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:40,Rodrigo Herrera
266570,405606,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:40,Rodrigo Herrera
266570,405614,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:40,Rodrigo Herrera
266572,405537,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:41,Rodrigo Herrera
266572,405608,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:41,Rodrigo Herrera
266572,405611,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:41,Rodrigo Herrera
266574,405517,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:41,Rodrigo Herrera
266574,405518,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:41,Rodrigo Herrera
266574,405519,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:41,Rodrigo Herrera
267203,405541,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:41,Rodrigo Herrera
267203,405630,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:41,Rodrigo Herrera
267203,407172,G&J ADMINISTRATION LLC,20,75,4/27/2026 18:41,Rodrigo Herrera
266797,405382,BLUEFACE EXPRESS LLC,15,95,4/27/2026 18:43,Liza Kolodii
267234,407136,GUERRERO 1 LOGISTICS INC,25,80,4/27/2026 18:48,Liza Kolodii
267234,407144,GUERRERO 1 LOGISTICS INC,25,80,4/27/2026 18:48,Liza Kolodii
265995,404708,2GO HAULER LLC,55,180,4/27/2026 19:05,Ryan Glover
267079,406669,ROYAL CARRIERS USA INC,60,200,4/27/2026 19:23,Rodrigo Herrera
267079,406670,ROYAL CARRIERS USA INC,60,200,4/27/2026 19:23,Rodrigo Herrera
267079,406673,ROYAL CARRIERS USA INC,60,200,4/27/2026 19:23,Rodrigo Herrera
267665,407654,BROS. BROOKLYN TOWING AND TRANSPORT LLC,85,195,4/27/2026 19:45,Rodrigo Herrera
267023,404363,BROS. BROOKLYN TOWING AND TRANSPORT LLC,95,195,4/27/2026 19:47,Rodrigo Herrera
265626,403994,AVT LOGISTICS LLC,0,300,4/27/2026 20:05,Illia Kovanko
267024,406642,BROS. BROOKLYN TOWING AND TRANSPORT LLC,81.66,195,4/27/2026 20:24,Rodrigo Herrera
267024,406643,BROS. BROOKLYN TOWING AND TRANSPORT LLC,81.67,195,4/27/2026 20:24,Rodrigo Herrera
267024,406644,BROS. BROOKLYN TOWING AND TRANSPORT LLC,81.67,195,4/27/2026 20:24,Rodrigo Herrera
266436,405556,TWO STREET TRUCKING LLC,15,100,4/27/2026 20:47,Rodrigo Herrera
266436,405598,TWO STREET TRUCKING LLC,15,100,4/27/2026 20:47,Rodrigo Herrera
266436,405599,TWO STREET TRUCKING LLC,15,100,4/27/2026 20:47,Rodrigo Herrera
266436,405604,TWO STREET TRUCKING LLC,15,100,4/27/2026 20:47,Rodrigo Herrera
266436,405632,TWO STREET TRUCKING LLC,15,100,4/27/2026 20:47,Rodrigo Herrera
262182,397916,"WEST COAST CARGO, INC.",-395,1505,4/27/2026 21:58,Rodrigo Herrera
260460,394415,MCTSPOT LLC,-100,350,4/27/2026 22:26,Ryan Glover
260460,394416,MCTSPOT LLC,-100,350,4/27/2026 22:26,Ryan Glover
267106,406739,SANDS LOGISTICS INC,65,540,4/27/2026 22:31,Illia Kovanko
267244,406979,ALIEN CORPORATION,125,450,4/28/2026 00:20,Illia Kovanko
267052,406679,V&S GROUP LLC,25,650,4/28/2026 00:47,Illia Kovanko
264796,402257,GNP LOGISTICS LLC,-20,130,4/28/2026 00:54,Rodrigo Herrera
264796,402267,GNP LOGISTICS LLC,-20,130,4/28/2026 00:54,Rodrigo Herrera
264796,402271,GNP LOGISTICS LLC,-20,130,4/28/2026 00:54,Rodrigo Herrera
264796,402274,GNP LOGISTICS LLC,-20,130,4/28/2026 00:54,Rodrigo Herrera
264796,402276,GNP LOGISTICS LLC,-20,130,4/28/2026 00:54,Rodrigo Herrera
264796,402278,GNP LOGISTICS LLC,-20,130,4/28/2026 00:54,Rodrigo Herrera
266339,405453,ROADPRO LLC,100,350,4/28/2026 01:11,Rodrigo Herrera
266339,405455,ROADPRO LLC,100,350,4/28/2026 01:11,Rodrigo Herrera
266339,405457,ROADPRO LLC,100,350,4/28/2026 01:11,Rodrigo Herrera
266339,405458,ROADPRO LLC,100,350,4/28/2026 01:11,Rodrigo Herrera
266339,405460,ROADPRO LLC,100,350,4/28/2026 01:11,Rodrigo Herrera
266339,405462,ROADPRO LLC,100,350,4/28/2026 01:11,Rodrigo Herrera
266339,406415,ROADPRO LLC,100,350,4/28/2026 01:11,Rodrigo Herrera
266339,407804,ROADPRO LLC,100,350,4/28/2026 01:11,Rodrigo Herrera
266085,404663,ELBS TRANSPORTATION SERVICES INC,100,650,4/28/2026 03:48,Liza Kolodii
265734,404010,ELBS TRANSPORTATION SERVICES INC,175,625,4/28/2026 03:51,Illia Kovanko
263238,399840,MILIVA INC,-140,410,4/28/2026 07:24,Illia Kovanko
265645,404018,ORISG LLC,35,260,4/28/2026 08:06,Illia Kovanko
263586,398046,"BCB TRUCKING, LLC",-50,300,4/28/2026 08:08,Ryan Glover
266170,405176,JJS HAULING LLC,75,300,4/28/2026 08:36,Rodrigo Herrera
266170,405177,JJS HAULING LLC,75,300,4/28/2026 08:36,Rodrigo Herrera
265599,403524,TOWMASTERS SERVICES K&E LLC,75,195,4/28/2026 08:38,Rodrigo Herrera
267227,404351,ED TRANSPORTSS LLC,0,400,4/28/2026 09:12,Tyson Artis
267227,404354,ED TRANSPORTSS LLC,0,400,4/28/2026 09:12,Tyson Artis
267227,404355,ED TRANSPORTSS LLC,0,400,4/28/2026 09:12,Tyson Artis
266804,401998,ELBS TRANSPORTATION SERVICES INC,-150,500,4/28/2026 09:22,Illia Kovanko
266828,406311,GLOBEKS CORP,85,635,4/28/2026 09:28,Illia Kovanko
265586,396483,M & K TOWING AND RECOVERY LLC,-30,195,4/28/2026 09:30,Ryan Glover
265584,396482,M & K TOWING AND RECOVERY LLC,-30,195,4/28/2026 09:31,Ryan Glover
266761,406130,V&S GROUP LLC,0,550,4/28/2026 09:31,Illia Kovanko
266966,406536,ALIEN CORPORATION,120,520,4/28/2026 09:47,Illia Kovanko
266268,405298,AG LOGISTICS LLC,50,525,4/28/2026 09:58,Illia Kovanko
266268,405299,AG LOGISTICS LLC,50,525,4/28/2026 09:58,Illia Kovanko
266268,405301,AG LOGISTICS LLC,50,525,4/28/2026 09:58,Illia Kovanko
266268,405303,AG LOGISTICS LLC,50,525,4/28/2026 09:58,Illia Kovanko
266268,405304,AG LOGISTICS LLC,50,525,4/28/2026 09:58,Illia Kovanko
266268,405306,AG LOGISTICS LLC,50,525,4/28/2026 09:58,Illia Kovanko
266268,405308,AG LOGISTICS LLC,50,525,4/28/2026 09:58,Illia Kovanko
264487,401747,GQ LINE LLC,-20,605,4/28/2026 10:17,Illia Kovanko
267271,406976,SMTE LLC,20,100,4/28/2026 10:17,Tyson Artis
267271,406999,SMTE LLC,20,100,4/28/2026 10:17,Tyson Artis
267271,407004,SMTE LLC,20,100,4/28/2026 10:17,Tyson Artis
267271,407006,SMTE LLC,20,100,4/28/2026 10:17,Tyson Artis
267271,407007,SMTE LLC,20,100,4/28/2026 10:17,Tyson Artis
264941,402217,LEMBERG TRANS LLC,16.66,550,4/28/2026 10:21,Illia Kovanko
264941,403397,LEMBERG TRANS LLC,-48.33,485,4/28/2026 10:21,Illia Kovanko
264941,404542,LEMBERG TRANS LLC,-8.33,525,4/28/2026 10:21,Illia Kovanko
267142,406784,FALCON 8 LLC,250,850,4/28/2026 10:21,Liza Kolodii
267142,406793,FALCON 8 LLC,200,700,4/28/2026 10:21,Liza Kolodii
266646,401710,AN CAR TRANSPORT LLC,-20,130,4/28/2026 10:39,Tyson Artis
267152,402204,CLEVELAND AUTO TRANSPORT LLC,-75,675,4/28/2026 10:51,Illia Kovanko
266993,406618,CAPITAL AUTO CARRIERS LLC,10,110,4/28/2026 10:54,Rodrigo Herrera
266993,406619,CAPITAL AUTO CARRIERS LLC,10,110,4/28/2026 10:54,Rodrigo Herrera
266993,406620,CAPITAL AUTO CARRIERS LLC,10,110,4/28/2026 10:54,Rodrigo Herrera
266993,406621,CAPITAL AUTO CARRIERS LLC,10,110,4/28/2026 10:54,Rodrigo Herrera
266993,406622,CAPITAL AUTO CARRIERS LLC,10,110,4/28/2026 10:54,Rodrigo Herrera
266993,406624,CAPITAL AUTO CARRIERS LLC,10,110,4/28/2026 10:54,Rodrigo Herrera
266993,406625,CAPITAL AUTO CARRIERS LLC,10,110,4/28/2026 10:54,Rodrigo Herrera
266993,406626,CAPITAL AUTO CARRIERS LLC,10,110,4/28/2026 10:54,Rodrigo Herrera
265560,403716,CLEVELAND AUTO TRANSPORT LLC,141.66,650,4/28/2026 10:55,Illia Kovanko
265560,404565,CLEVELAND AUTO TRANSPORT LLC,141.67,650,4/28/2026 10:55,Illia Kovanko
265560,404571,CLEVELAND AUTO TRANSPORT LLC,141.67,650,4/28/2026 10:55,Illia Kovanko
266717,405790,AOT CARRIERS LLC,0,690,4/28/2026 10:55,Illia Kovanko
266052,404764,OK AUTO TRANSPORT CORP,95,495,4/28/2026 11:00,Rodrigo Herrera
266052,404765,OK AUTO TRANSPORT CORP,95,495,4/28/2026 11:00,Rodrigo Herrera
266653,405836,GQ LINE LLC,75,675,4/28/2026 11:05,Liza Kolodii
267215,405641,JR EXPRESS TRANSPORTATION LLC,60,200,4/28/2026 11:07,Rodrigo Herrera
267215,406887,JR EXPRESS TRANSPORTATION LLC,55,195,4/28/2026 11:07,Rodrigo Herrera
267215,406893,JR EXPRESS TRANSPORTATION LLC,55,195,4/28/2026 11:07,Rodrigo Herrera
266774,406236,JRO TRANSPORT LLC,45,170,4/28/2026 11:15,Rodrigo Herrera
266774,406243,JRO TRANSPORT LLC,45,170,4/28/2026 11:15,Rodrigo Herrera
266774,406245,JRO TRANSPORT LLC,45,170,4/28/2026 11:15,Rodrigo Herrera
266108,404778,ELBS TRANSPORTATION SERVICES INC,50,650,4/28/2026 11:31,Liza Kolodii
264918,402794,1611 TRANSPORTATION INC,-66,1184,4/28/2026 11:33,Tyson Artis
264748,402028,AMERICAN LOGISTICS PRIME LINE INC,-215,355,4/28/2026 11:34,Illia Kovanko
266790,404752,Y & J AUTO LLC,110,510,4/28/2026 11:46,Illia Kovanko
266778,406036,BLACK PROOF INC,15,85,4/28/2026 11:51,Liza Kolodii
266778,406052,BLACK PROOF INC,15,85,4/28/2026 11:51,Liza Kolodii
266778,406053,BLACK PROOF INC,15,85,4/28/2026 11:51,Liza Kolodii
266778,406066,BLACK PROOF INC,15,85,4/28/2026 11:51,Liza Kolodii
266778,406073,BLACK PROOF INC,15,85,4/28/2026 11:51,Liza Kolodii
266778,406074,BLACK PROOF INC,15,85,4/28/2026 11:51,Liza Kolodii
266778,406079,BLACK PROOF INC,15,85,4/28/2026 11:51,Liza Kolodii
263967,398485,JIMS AUTOMOTIVE TRANSPORTS LLC,65,300,4/28/2026 11:57,Ryan Glover
265786,404270,AMERICAN LOGISTICS PRIME LINE INC,310,1610,4/28/2026 12:00,Liza Kolodii
267754,404667,TOWMASTERS SERVICES K&E LLC,25,150,4/28/2026 12:00,Rodrigo Herrera
266836,404924,J MACK'S TRUCKING LLC,15,85,4/28/2026 12:02,Liza Kolodii
266836,405369,J MACK'S TRUCKING LLC,15,85,4/28/2026 12:02,Liza Kolodii
266836,405375,J MACK'S TRUCKING LLC,15,85,4/28/2026 12:02,Liza Kolodii
266836,405377,J MACK'S TRUCKING LLC,15,85,4/28/2026 12:02,Liza Kolodii
266836,405996,J MACK'S TRUCKING LLC,15,85,4/28/2026 12:02,Liza Kolodii
265362,401193,JIMS AUTOMOTIVE TRANSPORTS LLC,65,300,4/28/2026 12:03,Ryan Glover
265426,403603,INEVITABLE TRANSPORTATION LLC,10,210,4/28/2026 12:04,Liza Kolodii
265426,403621,INEVITABLE TRANSPORTATION LLC,10,210,4/28/2026 12:04,Liza Kolodii
265426,403624,INEVITABLE TRANSPORTATION LLC,10,210,4/28/2026 12:04,Liza Kolodii
265426,404527,INEVITABLE TRANSPORTATION LLC,-30,170,4/28/2026 12:04,Liza Kolodii
265426,405850,INEVITABLE TRANSPORTATION LLC,-30,170,4/28/2026 12:04,Liza Kolodii
265426,406271,INEVITABLE TRANSPORTATION LLC,-30,170,4/28/2026 12:04,Liza Kolodii
265426,406275,INEVITABLE TRANSPORTATION LLC,-30,170,4/28/2026 12:04,Liza Kolodii
260802,395446,BY GRACE TOWING LLC,15,315,4/28/2026 12:17,Tyson Artis
267086,406160,FALCON WAY INC,10,160,4/28/2026 12:18,Rodrigo Herrera
267086,406166,FALCON WAY INC,10,160,4/28/2026 12:18,Rodrigo Herrera
267086,406167,FALCON WAY INC,10,160,4/28/2026 12:18,Rodrigo Herrera
267086,406169,FALCON WAY INC,10,160,4/28/2026 12:18,Rodrigo Herrera
267086,406170,FALCON WAY INC,10,160,4/28/2026 12:18,Rodrigo Herrera
267086,406174,FALCON WAY INC,10,160,4/28/2026 12:18,Rodrigo Herrera
267086,406178,FALCON WAY INC,10,160,4/28/2026 12:18,Rodrigo Herrera
267086,406179,FALCON WAY INC,10,160,4/28/2026 12:18,Rodrigo Herrera
267086,406185,FALCON WAY INC,10,160,4/28/2026 12:18,Rodrigo Herrera
265444,400048,LYNX AUTO TRANSPORT LLC,60,300,4/28/2026 12:18,Illia Kovanko
266735,406094,V&S GROUP LLC,-10,500,4/28/2026 12:18,Illia Kovanko
266735,406388,V&S GROUP LLC,40,550,4/28/2026 12:18,Illia Kovanko
264578,402174,BY GRACE TOWING LLC,15,315,4/28/2026 12:20,Tyson Artis
266851,405999,LG EXPRESS INC,25,95,4/28/2026 12:21,Liza Kolodii
266851,406002,LG EXPRESS INC,25,95,4/28/2026 12:21,Liza Kolodii
266851,406004,LG EXPRESS INC,25,95,4/28/2026 12:21,Liza Kolodii
266851,406075,LG EXPRESS INC,25,95,4/28/2026 12:21,Liza Kolodii
267397,402836,"CAR PULL,INC.",5,85,4/28/2026 12:22,Rodrigo Herrera
267397,402861,"CAR PULL,INC.",5,85,4/28/2026 12:22,Rodrigo Herrera
267397,404994,"CAR PULL,INC.",5,85,4/28/2026 12:22,Rodrigo Herrera
267397,407179,"CAR PULL,INC.",5,85,4/28/2026 12:22,Rodrigo Herrera
267397,407192,"CAR PULL,INC.",5,85,4/28/2026 12:22,Rodrigo Herrera
267397,407195,"CAR PULL,INC.",5,85,4/28/2026 12:22,Rodrigo Herrera
267397,407197,"CAR PULL,INC.",5,85,4/28/2026 12:22,Rodrigo Herrera
267397,407200,"CAR PULL,INC.",5,85,4/28/2026 12:22,Rodrigo Herrera
262307,398089,REDKOR TRANSPORT LLC,-25,475,4/28/2026 12:23,Ryan Glover
266224,404966,MELNIKS AUTOMOTIVE LLC,-96,179,4/28/2026 12:25,Ryan Glover
267479,407526,DEWAYNE WALKER,5,80,4/28/2026 12:29,Tyson Artis
267479,407527,DEWAYNE WALKER,5,80,4/28/2026 12:29,Tyson Artis
267479,407528,DEWAYNE WALKER,5,80,4/28/2026 12:29,Tyson Artis
266645,403721,LYNX AUTO TRANSPORT LLC,75,300,4/28/2026 12:30,Illia Kovanko
266645,403722,LYNX AUTO TRANSPORT LLC,75,300,4/28/2026 12:30,Illia Kovanko
266938,406461,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:43,Liza Kolodii
266938,406463,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:43,Liza Kolodii
266938,406465,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:43,Liza Kolodii
266938,406466,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:43,Liza Kolodii
266939,406479,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:45,Liza Kolodii
266939,406481,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:45,Liza Kolodii
266591,405536,BUMBLE AUTO BROKERS LLC,12,112,4/28/2026 12:47,Rodrigo Herrera
266591,405550,BUMBLE AUTO BROKERS LLC,12,112,4/28/2026 12:47,Rodrigo Herrera
266591,405557,BUMBLE AUTO BROKERS LLC,12,112,4/28/2026 12:47,Rodrigo Herrera
267223,406266,TOWMASTERS SERVICES K&E LLC,45,170,4/28/2026 12:48,Rodrigo Herrera
267223,406947,TOWMASTERS SERVICES K&E LLC,45,170,4/28/2026 12:48,Rodrigo Herrera
267223,407055,TOWMASTERS SERVICES K&E LLC,45,170,4/28/2026 12:48,Rodrigo Herrera
262987,399451,1ST CHOICE RECOVERY LLC,15,235,4/28/2026 12:54,Ryan Glover
266937,406435,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:54,Liza Kolodii
266937,406439,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:54,Liza Kolodii
266937,406441,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:54,Liza Kolodii
266937,406447,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:54,Liza Kolodii
266936,406427,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:55,Liza Kolodii
266936,406428,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:55,Liza Kolodii
266936,406430,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:55,Liza Kolodii
266936,407835,DAJANI AUTO HAULERS INC,25,80,4/28/2026 12:55,Liza Kolodii
